Gene symbol	VALUE
HSP90AA1	0.11794567
XLOC_001128	0.17389013
APOA1	-4.7253647
MPRIP	1.4035331
RASGRP3	-0.21703307
PRPF40B	0.35761926
TPTE2P6	-2.4218779
EMX2	0.17466286
	0.9896098
XLOC_005512	0.1745335
OGFOD2	0.34942055
IZUMO2	-0.42844456
XLOC_004428	0.17435305
	2.7808733
HRAS	1.1993113
XLOC_l2_008731	0.5491662
XLOC_009428	0.6002466
LOC389199	-0.3863206
	-0.018338481
SPAG5-AS1	-0.004285286
MSRB3	-5.828547
	-0.3553773
THOC2	0.7251873
XLOC_008342	0.17144696
XLOC_005586	0.2693129
LOC100294362	0.903615
XLOC_006364	-0.97606516
LOC100507013	0.16975148
	-3.0625234
FLJ30838	1.1947454
ISY1-RAB43	1.7880836
TLN1	0.9765754
MSH3	-0.11883916
IL25	0.09004456
XLOC_002880	1.0890524
LOC221442	-3.196561
DPCR1	1.1092587
	0.08768847
FLJ43663	1.0911337
LOC100216546	-0.23278815
FMOD	-1.7095832
GGT3P	0.19438986
XLOC_009383	2.0196104
LOC401463	1.1454409
LOC286114	0.16046451
MPP4	-2.4266503
	-0.14057024
LOC645321	-4.0217886
GSTCD	0.62154305
MCTS1	0.062879495
XLOC_001398	0.05282407
ERLEC1	0.48444837
XLOC_004562	1.3670812
CENPN	-1.2259188
TEX15	-0.97354794
XLOC_002878	0.43960533
SIX5	-0.35824478
CADM2	0.15380527
SUMO3	0.017423693
FBXO33	0.9375648
XLOC_010200	0.15271932
XLOC_001637	0.05658645
USP1	-0.12628274
PPIA	0.045167893
NPEPPS	-1.0214063
TXNDC17	1.012209
AADACL4	1.4184479
C12orf51	0.032013938
LFNG	1.7923676
XLOC_002996	-0.83891976
	-0.061545406
XLOC_006949	0.15115455
XLOC_003521	0.15125567
ANKZF1	-0.9663209
XLOC_l2_002204	-1.3274093
SYNGR1	-2.9637966
	0.10027205
XLOC_010503	0.034591947
CTNND2	-6.0110226
	0.086940564
XLOC_002049	0.042258035
GPSM1	-3.4692936
	1.4201466
XLOC_002968	-0.5394311
ZFP36L2	-0.10259627
SNORA26	0.93013
XLOC_l2_004944	0.060798824
NGRN	1.1651267
RABGAP1	-0.42121893
TSEN15	0.7381068
C1orf31	0.023844691
MS4A5	0.11920616
C6orf89	-0.2856312
TBCD	-0.085077144
	0.10175644
ATP6V0D2	0.059248894
KDR	-0.36553952
POLDIP3	0.4043303
ABCF2	0.3468475
HMGCS2	3.2213793
XLOC_l2_013442	0.09258957
FONG	-2.7668269
XLOC_004405	1.6692903
SLC9A7	0.46758652
FLJ26245	0.101775505
LOC100506867	1.1434188
ZNF195	1.1791611
XLOC_005991	0.10835536
RNF157	-2.9446924
LOC100506235	0.9332495
CUTA	-0.26005277
CRIM1	0.60684437
	0.17042634
XLOC_011080	0.12072831
LOC100134285	-0.6230011
XLOC_004988	0.8840628
OAZ2	-0.69490904
RPL23AP7	-0.6829968
	-3.471344
SYT8	1.4959637
MMP2	0.13368863
WIPI2	-0.3799085
XLOC_l2_009273	-0.034350358
CHRM3	4.4865837
XLOC_014183	-0.3156791
CPT1A	1.107045
GNASAS	0.13003239
ZNF596	3.4565659
C1orf183	0.44609547
	0.022534939
OR8B4	0.14923885
NUS1	0.7479706
	1.1213244
ACAN	-0.1463295
XLOC_l2_013648	-0.4712408
SLC19A1	0.830327
OTOG	0.15652798
XLOC_l2_014565	1.1389796
TSPAN8	6.1753006
XLOC_010491	0.6680048
ARHGAP24	-0.030326284
XLOC_013528	0.96613455
XLOC_001281	0.16247231
XLOC_011421	1.230529
SPATA21	0.024330106
EIF4G3	0.35441217
NAV2	-0.92929363
LSM2	0.009505228
MAFF	0.65084755
WDR43	1.1493942
KHSRP	0.8661857
UPF2	0.94769853
NAP1L1	-0.9165744
XKR6	0.55877733
XLOC_007543	1.392316
XLOC_009365	0.17073698
XLOC_012139	-2.926291
XLOC_014105	0.7226134
SPAG17	0.35397288
MEAF6	0.34118843
XLOC_l2_005871	0.3699031
XLOC_012116	-3.1925988
XLOC_l2_009172	0.1726779
LOC145837	0.253446
PREP	2.0933008
PLCG2	-4.316287
	0.17292829
LOC100287765	0.43293574
	-1.5379544
IL1A	0.4985554
GOLGA6L9	-0.13224494
HRH2	0.27566957
	-0.988677
MYB	-1.3305035
H2BFXP	-0.19687083
XLOC_l2_010936	0.17210867
PCDHA4	-0.2243619
XXYLT1	0.3813923
SEC24A	0.22417793
LOC100505478	0.40134856
BRP44L	-0.4916354
FSTL5	5.4454966
POLR3F	0.33935922
UNC80	0.6796503
KATNA1	0.024292905
LOC729032	0.99240583
	2.3798146
ZCCHC6	0.9454556
CAST	-0.827632
KIAA0196	-0.24442197
LRRIQ3	-2.6515794
NANS	0.8764488
C4orf40	0.5641452
ZNF117	0.16438386
PPP2R2C	-1.8206943
	1.1068401
C1orf213	-1.8993359
THADA	-0.052452054
NEDD4L	0.66273683
XLOC_003840	0.16146715
B4GALNT1	-5.2246237
HLA-DPB1	0.10569914
DST	-1.9783555
ZBTB11	-0.11264902
XLOC_l2_009886	-0.33810502
FAM65C	-4.140656
MESDC1	0.84664834
XLOC_010399	-1.4023921
CHST5	0.65498537
	0.15606317
SNORA26	0.050862655
CCDC99	-0.75410265
SEPW1	-0.10266682
VTI1A	0.6447105
NPC1	-0.44133568
	0.12043802
FCER1G	0.25367844
	0.15253073
HSP90AB1	-0.9579449
MCHR2	1.1792231
XLOC_004674	0.36206794
CECR2	1.3364273
INTS8	-0.4356165
BRCC3	-0.29794592
AFM	-0.28238466
FMN1	-1.1962999
FAM74A1	-2.6817503
PADI3	4.2396264
ZNF362	-0.23753645
LACC1	2.9223912
XLOC_001517	0.15077163
C1orf21	-3.2585442
LINC00229	0.15116274
TPM2	-0.3508186
BCAS1	-2.2745621
	0.7159619
XLOC_l2_004706	-0.86186415
MTRNR2L5	0.03406714
RAF1	-0.18760976
XLOC_l2_008321	1.6115495
Q7Z2X8	-1.5445695
PROSC	1.3831462
XLOC_l2_015673	0.30211496
CLCC1	-0.74884135
XLOC_011686	0.18575093
XLOC_003406	-1.4485693
GUSB	-1.0217915
HBG1	-5.014266
ARFIP1	0.61357784
	0.116588116
XLOC_l2_013427	0.067635074
NOS2	-1.8446046
XLOC_002773	0.072396785
LOC100652730	3.1938276
ICMT	0.68974787
XLOC_004636	0.6227794
XLOC_008061	0.1746106
XLOC_010517	1.4214336
XLOC_004875	0.08722504
GPBP1L1	1.0798274
MFSD9	1.501197
CNOT10	-0.24396509
SNORA11B	0.73291785
IGF1	-1.474123
XLOC_000982	1.4565302
	0.93634653
SLCO1B3	6.6435103
XLOC_005763	-0.70020854
XLOC_008963	-0.35715458
NXPH1	-0.9854237
C17orf87	0.40124696
CCT2	0.0981264
IL10	0.22946884
	0.11968982
BAG4	0.21719508
	0.2731176
NUAK2	1.0697385
RASD1	-0.09037504
CPPED1	-0.5938921
XLOC_l2_009762	0.13092338
XLOC_002593	1.8907309
PSMD12	0.69077396
LOC152024	1.6479298
	0.90981704
XLOC_003130	1.5763412
XLOC_005784	1.0073538
DRAM2	0.4413052
	0.12503377
	-0.3507448
FLJ42627	-0.6595912
XLOC_l2_011891	-0.42909658
XLOC_005567	-2.6508622
ROR1	-6.252644
SHOX	0.3908074
XLOC_l2_000159	1.1356314
DAD1	0.27881524
	1.6362362
SRRT	0.35744473
	-0.034457184
LRP3	0.054451965
AKAP4	0.46584845
PFN1P2	-0.42287248
XLOC_l2_001945	0.42755798
UNC5D	-0.30565125
	-2.7741354
NXT2	0.17470537
HMGA2	-1.5340214
XLOC_l2_013931	0.3046471
XLOC_003736	0.16573508
LOC348761	4.104396
	-1.0714359
CNOT2	0.32471702
XLOC_014215	0.44206193
	0.19399783
ANO1	-0.11826922
SLCO5A1	1.952105
LCN6	0.008519239
HELLS	0.16794775
XLOC_009826	1.1289653
SLITRK2	0.1705871
XLOC_009303	0.17080666
ST6GAL1	0.21132942
MTRNR2L2	1.2581177
DYDC1	0.17132066
LOC652586	0.9644565
LSM14B	0.5044918
LOC100507380	0.879926
KCNS3	-4.9345355
	-0.20699073
	0.17140773
ARRB2	0.5568028
	0.0791501
LOC388152	-0.26216605
XLOC_l2_002423	0.17081048
ATP13A3	0.68153584
DYNLRB2	1.2411293
P06788	-5.959891
MARS2	3.487572
ADCYAP1	0.06973935
ITGB2	0.9046816
XLOC_003211	-0.3997813
	0.9504586
MMP17	1.2569704
HABP2	0.591126
XLOC_003093	0.16734862
HSPA1A	-5.5899167
	1.4481751
LOC100130430	0.6647334
LOC340340	-2.7166173
PSMB7	-0.02355964
	0.047189824
	0.85336745
GCM2	-1.4563776
XLOC_012457	-0.44699574
RBM23	0.40349865
SLC22A7	-0.5892477
COX5B	0.5852498
EBNA1BP2	0.13374145
CCL2	-7.9275384
UROS	0.6255904
	0.44028813
XLOC_000625	0.2823887
XLOC_007281	1.2478473
XLOC_011510	-1.6149884
XLOC_007819	0.15652397
XLOC_009948	0.15610746
CMPK1	0.5572366
	-0.9240308
TNFRSF12A	1.3347341
XLOC_l2_000727	1.9150003
ZNF207	0.19409463
P4HB	0.14019772
IGFL2	1.5326315
SDR39U1	-0.31916803
YWHAB	0.25261202
MEOX2	-2.3061428
SCLY	0.8102808
Q7VLF4	0.15092623
XLOC_000545	0.15071324
SH3GL3	0.66426843
C1orf9	0.986102
ZNF847P	0.15032603
ALG13	0.86439884
XLOC_001641	2.7169373
HIST1H2AG	-1.4062347
XLOC_008221	0.15024638
APLN	-3.6273625
LOC100507109	0.1507092
TXNDC5	-0.5667038
XLOC_l2_014077	0.15128851
DHFR	-1.1060114
MRPL30	-0.49886987
TBC1D3	-0.004430707
	0.15643525
KIAA0040	0.03372612
NAT2	1.2881837
JPX	0.05751899
ATP6V1F	0.10223284
SYT12	0.043915905
ADAM29	-0.39766508
XLOC_000055	-0.7762737
XLOC_008989	1.3409034
GJD3	0.9722276
SUMO2	0.4788751
LDLR	1.4043074
	0.39953935
LOC100507630	-0.5433207
	0.06703301
XLOC_012625	0.07213948
CD84	-1.2073361
MOB1A	-8.43E-04
XLOC_l2_015578	0.7308045
RPA1	-0.49976924
IL15RA	1.5713873
PVT1	0.9968157
TARBP1	-0.38124856
XLOC_010135	0.7970195
XLOC_l2_012605	0.72463834
IPO13	0.3723564
XLOC_011789	-0.04016031
TCTN2	0.13775776
CXCL13	0.37697083
	0.118566945
UPRT	0.53110355
Q59GX9	0.14224716
XLOC_010996	1.1773902
XLOC_001947	-0.15902515
C6orf52	2.505447
XLOC_l2_002729	0.20301576
LOC400499	1.0566684
C3orf55	0.122730225
RTP1	0.8022331
RPH3AL	2.040223
ZNF444	-0.62863344
1/2-SBSRNA4	0.13002217
	0.19835734
	0.09929708
LOC442421	0.91682774
PI15	-3.9807644
SERTM1	0.13803597
CASP6	1.3744173
NUP210L	-2.2149165
OBSCN	2.9154954
ABCB1	4.21347
ZNRF2	0.41215363
ZC3H13	0.65620327
KANK1	0.6788836
LINC00347	1.0249798
ENTPD4	1.0477105
ALOX12P2	-2.8701239
AMD1	0.94955724
CAP1	0.10566814
TRIM59	-0.27171803
PTPN2	0.46657467
AK4	-3.5812287
DGAT1	1.0700332
HSBP1	-0.22206208
XLOC_008745	1.143761
XLOC_005110	0.16157033
XLOC_002612	0.8978255
STXBP4	0.008800457
TCEB2	2.88E-04
GDI2	0.39450365
FBXO18	0.97093916
XLOC_002217	0.19442563
RABEP2	0.1881495
LARP1	0.69581133
ACSM1	-1.4855863
ZNF713	0.5921908
DLEU7	1.0083219
C12orf11	0.2821951
LOC390940	-1.8515258
C6orf132	1.3448321
LYSMD4	0.058756754
LOC100507498	0.16936767
	0.245025
	0.1558679
	0.17041335
WDR74	1.1361485
XLOC_004023	1.4141176
SASH1	0.8303499
LOC388630	-1.8521188
GP9	0.95229113
WDR82	0.46479613
XLOC_007835	-1.308206
NAB1	1.4641944
MGC23284	0.35362244
PTGS1	-4.365641
WFDC1	-4.9356575
SLC10A1	0.16866906
TRIM36	0.22908312
WHSC1	1.298954
XLOC_l2_000267	0.4200711
PSMD3	0.2602244
XLOC_002796	0.4878955
PPP2R2A	1.1907749
XLOC_001992	-0.6827293
XLOC_l2_009180	0.16586386
SOS2	0.83714867
XLOC_011545	-2.5397167
NCOA4	0.50355995
PIK3CG	-2.172657
XLOC_007438	0.16278298
XLOC_005433	0.16263488
ZNF331	-0.990553
XLOC_004426	0.16163474
KLRD1	0.1610899
EPB41	-0.2657242
XLOC_011515	0.16001756
TNNT1	-4.053191
TMEM221	-0.56068563
LOC339539	0.15845437
SUMF2	1.3703384
ERC1	-0.8086482
FUT10	-0.19809295
EIF4EBP2	0.50903785
XLOC_009100	0.1559934
C9orf47	0.1553207
BEST3	3.7817028
ABCD2	0.15442875
PKP4	1.3133622
	0.70414925
XLOC_003679	0.93423986
	0.5121286
SBDS	0.7369213
XLOC_000035	0.15157388
	0.15127037
C8orf59	1.5078354
XLOC_002731	0.2733776
XLOC_012317	0.15048578
CTSL1P2	1.3171564
HIST1H2BL	-1.6888208
	0.3321535
LOC157273	0.1498457
TRIM36	0.42345524
THRAP3	1.2102084
FNDC3A	0.67244905
CD34	0.14981797
	0.935915
	0.10984834
	-1.4225804
	0.15053211
	2.581007
	-0.29794592
XLOC_007205	0.02049424
TNFSF10	-1.7897946
CSN2	0.91795725
OR7C1	0.0308732
PIAS3	-1.0755978
XLOC_l2_007543	-1.1290588
C6orf10	-0.99241763
LOXHD1	0.041268617
	1.1164821
GK3P	-0.67017645
XLOC_003016	0.892633
AP2A2	0.8249512
PLA2G4E	0.12769951
PFAS	-0.05133619
PDZRN4	0.12636024
BTBD1	0.44103146
	0.064213514
SNORD115-4	0.0665202
CA8	-0.94615465
XLOC_000893	0.48537606
XLOC_l2_015716	4.040116
FLJ40606	0.43672273
XLOC_002730	1.1895714
	0.49521253
	0.1460467
XLOC_008111	0.73865587
LOC283588	-0.74010277
XLOC_l2_008841	0.41679135
NXT2	-0.8044959
PIGQ	-0.7533333
LOC100652741	-0.45135596
	0.10166364
PKP1	0.05974482
XLOC_008625	1.5062605
PRR15L	3.1049156
DCAF12L2	1.0426213
PEX14	-0.42906657
RPS21	-0.6610318
OTUD6B	1.0718378
XLOC_006905	0.11808101
	4.6114883
PEBP4	-0.20708214
LOC439950	-0.116600096
XLOC_012667	0.071283296
IL15RA	1.4910462
RPL23AP32	-4.4512186
LOC440896	-0.108981095
DCTN1	-0.5601464
XLOC_006166	0.82575077
MSL3	-0.1821684
ARAP1	-0.3697491
	1.0565166
	0.20066068
	-0.87977433
IFI27	2.6429005
CHD9	-0.9003276
C12orf56	-1.2222059
XLOC_004135	0.14687316
RANBP1	-0.19436456
KIAA1211	0.25992626
ACACA	1.0341252
	0.70691407
KCTD5	1.3021574
OCLN	2.0168843
	-0.49696347
GIMAP5	-0.2089868
SYNPR	-0.25642094
LOC100129119	1.6213231
	-0.05996794
CHD6	0.8335656
MOG	0.29025078
FLJ45482	-0.7469111
OR2T34	-0.3572133
FAM3C	0.48176467
NAPG	0.09820368
GLB1L3	-2.0346677
XLOC_l2_001421	0.024318438
ENPEP	0.16470824
YDJC	0.4544867
	0.03878037
XLOC_005919	0.1660702
FLJ23152	0.86707133
LOC100128977	0.35716444
XLOC_l2_008450	0.24402362
BAG1	-0.96025574
XLOC_003911	0.45485792
ASAP3	-3.6140885
FREM1	-3.9697034
ALOX5	-2.8174548
LOC729454	-0.13587527
XLOC_006689	-1.1932364
CNGA2	-0.3079786
KU-MEL-3	0.71577495
C16orf5	-0.8004064
FLJ31485	1.8682847
XLOC_008116	0.16856822
CHFR	-0.105228394
XLOC_011006	0.9266229
CSNK2B	0.31307414
GPM6A	-0.43692803
ZIC3	-1.0923102
XLOC_007971	1.4659512
	0.2372012
XLOC_008151	0.622592
B4GALT3	0.27252
XLOC_l2_009301	-1.4744625
LOC100505697	0.16639099
DNAJC27	-0.8837462
XLOC_006048	0.28129333
LOC646214	-0.1364541
LOC100507086	1.5883532
C1orf35	0.015696462
BRD7P3	-1.6511273
	0.2143538
SNORD115-5	0.1632343
COQ9	0.09835149
KIAA1383	0.5535536
	0.87752247
TBC1D21	0.16134904
	0.23363927
	-0.07690822
XLOC_l2_005517	0.15988997
	0.13034055
C1orf226	1.1314877
XLOC_006790	0.7375684
ING3	-0.73078257
EIF2B1	-0.61777204
XLOC_l2_000696	0.1568182
ZNF497	0.49741468
RIBC2	0.26405624
XLOC_012596	-1.093198
XLOC_l2_001640	0.15485643
LOC146880	0.76686186
CCDC69	1.016828
XLOC_002078	1.0904083
	0.15703462
C10orf120	0.019102525
SPSB3	0.30935812
IL2	0.20795609
LOC100507055	0.16463767
POLE3	-0.032762483
XLOC_002402	0.38038182
XLOC_003349	0.150461
GOT1	1.6487905
UNC119B	0.82283545
CLEC1B	0.6998921
SNORA84	1.6795626
XLOC_010293	0.14954992
LOC100652766	-3.7824142
XLOC_l2_000941	1.1930313
XLOC_003428	0.14934368
	0.063632235
RBAK	0.71148443
STEAP1	-0.001771821
MBD5	1.1564784
RPL36A-HNRNPH2	1.024891
XLOC_005466	0.15007156
XLOC_006625	-0.13096482
XLOC_013942	-1.5008504
FMNL3	0.41277215
PEX11B	-0.6786023
VASP	1.9734117
XLOC_003677	-0.51999927
GRIN2A	-0.37932542
METTL17	-0.23704433
EXOSC3	0.02723328
	0.12384323
TBK1	0.19563097
XLOC_000022	0.04093431
	0.5436701
KLF4	1.8760681
	-2.1098518
PHLDA1	-0.42103577
CSRP2BP	-0.4967051
SOBP	-0.62527335
	0.18886273
LOC100131094	-0.105126455
CEACAM4	1.3151399
XLOC_008770	0.06625116
TSN	0.3715972
XLOC_000869	0.2869487
POLR2M	-0.061859164
RNU4ATAC	0.44900125
SNORD74	0.59693485
GAD1	-2.4690685
	1.6053461
SALL4	-4.523044
XLOC_000473	0.3431472
PLAU	-5.073662
	1.3398206
KRT6B	5.409617
CCDC11	0.40284812
XLOC_013743	1.3136103
	0.11692501
EIF4G2	0.6175307
LOC388692	-0.54396623
	1.1644597
BAAT	3.2353334
CD19	-1.8030924
ZNF765	0.17967026
XLOC_000293	0.11718365
HCN4	0.11907173
LOC730101	-0.37021253
LOC730102	1.0721836
XLOC_l2_013427	0.12450741
	0.20724063
PSMC6	0.44124022
CFHR3	-4.284416
GDNF	-5.06202
LOC100506233	0.5592012
RAB2B	0.7177106
LRRC8D	0.23247056
	1.3442454
RPP40	0.984705
	-0.06106251
TOP2A	-1.0032654
CTAGE10P	2.269666
XLOC_008833	-0.5345092
EEF1E1	0.22169597
THNSL1	1.397597
XLOC_l2_005997	0.14812277
	0.13595754
PRDX1	-0.6441536
SLC46A2	1.0354648
NACC2	-0.4272794
TTC32	-0.68558973
LOC389831	-1.596221
METTL13	-0.003913868
C17orf69	-0.314527
LINC00511	1.1713107
SLC45A4	2.2186532
LOC100505853	0.15960668
GNAI1	-0.0570545
	1.0326116
	0.26372984
AGT	-4.7354755
PAR1	-2.1872125
XLOC_l2_009469	1.3034276
SDHC	-0.4811765
ATP6V1C2	-0.14223479
RXFP2	0.15354833
PCSK7	0.67919064
	0.21718977
SEBOX	-0.77922106
LOC100507520	-1.8928796
LOC100129781	-1.6370333
INCA1	-1.3299155
S1PR5	-1.7053533
SCGB3A1	0.025787406
TERT	-1.2771627
LOC100506325	1.1818851
YWHAH	1.6221647
RAB1A	1.1432552
LOC100289137	1.359571
TMEM212	0.16713144
PABPC4	0.94303185
DMAP1	0.13036633
	0.11732493
LARP6	-2.848486
	1.8714964
XLOC_012095	-0.27514052
YTHDF3	-0.22120376
HACE1	0.13711935
LOC100652974	0.43657964
TGOLN2	-0.1575804
USP8	0.48799798
RPAP3	0.43611628
FANCA	-0.21443848
TRIM42	1.0738184
XLOC_l2_007595	0.16315535
RGMA	-3.8009114
XLOC_003480	-0.8396808
XLOC_008573	0.16187043
	-0.33460942
C2orf29	0.5230607
ABL2	-1.0407805
SEC22C	0.33700088
XLOC_014001	0.15962423
XLOC_008561	0.15858781
XLOC_l2_003897	0.15812826
MAP2	-4.2475076
SPAG5	-1.1226615
TNFRSF11B	-4.481247
	0.7355678
GAS7	-0.9281155
RELA	0.07732688
CAND2	-5.4598804
	0.42799422
FGA	-7.000398
MXRA7	-0.87308276
XLOC_005405	-0.37760317
XLOC_003431	0.15254758
GFM1	1.1279583
XLOC_000974	0.6840892
FAM176A	-1.8097506
XLOC_010962	1.3559825
GSTTP1	0.15071432
PPFIA1	0.36195073
LILRA1	0.6691738
CYP4Z1	4.3270655
FADS1	-0.07119368
XLOC_003305	-0.8419292
TOM1L2	0.4917145
XLOC_006935	-0.72639346
XLOC_l2_001011	1.6019921
	0.103595816
XLOC_l2_011415	0.12237114
UBE2B	1.6819638
NUP62CL	0.4996362
PPP2CA	0.26801577
SERPING1	-2.703201
XLOC_012408	0.34446186
XLOC_011403	0.14969967
	-0.4144878
C1orf81	1.3954741
WNK2	0.07097159
IL1B	2.2047217
	0.20184559
	-0.60954076
MYO3A	0.022788046
PLA2G4A	-0.5029344
PHF20L1	0.02792607
GREB1L	1.4447112
RPS23	1.2429352
CMKLR1	-0.68156075
KCNQ2	-0.6913495
C14orf180	-0.16211793
	0.04800769
ZNF45	-0.18828478
XLOC_002577	3.1431463
KRTAP1-3	0.05091445
XLOC_009911	0.05344154
XLOC_011170	0.055939555
ERCC5	-0.061600685
KIAA1704	0.76093197
XLOC_014072	0.06318999
KIF6	0.06589549
	0.38770643
HKR1	-0.16466804
LOC283392	-0.46055895
XLOC_000856	-0.06782481
XLOC_l2_015177	1.0062739
C12orf74	1.5767393
KLHL9	0.7082319
PHF14	0.056184717
KEL	-1.979063
DGCR9	-2.321302
LOC652276	0.32245207
ZMYM2	-1.7908354
FTO	-0.09085942
XLOC_001365	1.3668363
XLOC_007462	0.7927566
CDK1	0.015170009
ORMDL3	-0.23227975
XLOC_l2_003626	0.108616814
XLOC_005633	-0.23655145
IRX2	-5.892755
UGT2B11	-2.6163507
CXCL1	1.5251082
HDDC3	0.33886814
XLOC_003165	0.1200377
PPP1R7	0.83960056
TCP1	0.22173682
ABCC13	0.12540275
C14orf167	2.0894175
	0.12866367
OR7E19P	1.0764072
XLOC_l2_002651	-0.56189245
	0.16299745
GRB10	0.47090346
PTPMT1	0.43050668
LOC100527964	-1.2106905
LOC100287506	0.533673
ADAMTS7	0.14066347
SLC44A1	0.91665834
ZFP92	-0.16114117
ELMO1	-3.0458028
XLOC_002063	0.14582753
VPS13B	0.2728443
SHMT1	0.23938933
NRP1	-1.3868604
XLOC_l2_007783	-3.0495691
	0.8313141
HNRNPUL2	1.6523037
XLOC_007676	0.15429632
HRH4	1.102282
	0.18416907
XLOC_011548	-4.173357
XLOC_010707	1.3518807
HIST1H4E	-0.22009662
GFRA1	-3.8360796
DNAJC13	0.11342137
GNG11	-9.5082655
FAM131A	1.0327021
ROGDI	1.3915285
RLTPR	-2.5793738
TOR3A	0.61905015
	0.20329513
SLC8A1	0.45702273
NOTCH4	1.1896677
CFHR1	0.60311276
PKIB	1.9654198
DUSP8	0.63018656
XLOC_005473	4.4691057
FLJ33534	2.0260665
	0.165556
TSPAN19	-1.1705384
XLOC_l2_014697	0.2639895
XLOC_013489	0.23940943
OTUD7A	-1.7296039
XLOC_003512	0.52834356
MID1	2.4449859
LINC00239	5.0023174
	0.2226235
LOC100132731	1.9650041
XLOC_009112	0.1655612
ASPSCR1	-0.9424602
TM9SF3	1.3612804
SHD	0.9408359
AKAP5	-0.187078
	1.1415958
ATG13	1.0830421
XLOC_008730	0.16394044
LOC100506660	1.0972233
AARS	1.0594271
ZNF175	-0.5331931
ZNF599	0.1626418
	-2.1876574
TMC2	1.6524668
SUGT1	0.89091295
NAV2-AS4	0.16108759
XLOC_l2_007359	0.49804354
SF3B2	0.082221985
XLOC_l2_008343	-2.745535
C5orf30	0.049676914
PDCD6IP	1.2672349
UBE3A	0.86697674
LOC100302650	0.15652274
CLCN2	0.9575004
LOC100506393	0.15561455
OR5M1	0.15514404
XLOC_006844	1.4359725
CCNG2	-0.28920513
GRIN2C	-1.3113569
NLRC4	0.1533351
C9orf3	0.56745017
SAMD4A	0.53647417
XLOC_000036	0.27010638
	0.06115658
GALNT10	0.9415283
Q81CU5	-1.3086829
BTNL3	3.221988
METTL18	0.48822692
	0.4965037
ST8SIA1	-0.4113383
LOC100506328	0.77003616
COQ10B	1.4656807
SYCE3	0.50365496
HDAC6	-0.6884956
OR2AT4	-2.4044323
LALBA	0.14200528
AGBL4	1.5768491
LOC286058	-1.0934862
SLC6A4	-3.7862828
XLOC_013776	-0.5203618
LOC100130894	1.9098221
NFIA	1.8637457
	0.13711858
CD53	-6.5121403
UPF2	0.69788265
PRODH	1.0151583
MGC11082	0.72706085
CD48	-3.1763117
LOC389607	0.3706198
XLOC_010696	0.02013253
CDCP1	2.7689934
ARL9	-0.29175985
NBEAL1	-1.0165893
ZCRB1	-0.14304073
	0.71100295
LOC284408	-4.264383
XLOC_002433	1.1690861
CWF19L2	-1.0956535
C17orf69	-1.5781922
EMP2	-0.31964487
IKZF2	-3.903879
LMOD2	0.050347224
RFPL3-AS1	-1.0027832
XLOC_010439	1.126211
SNORA59B	-1.6678667
XLOC_007438	0.06539542
TMEM176A	1.4575257
HERC5	-1.0877568
APH1A	0.79388326
C6orf35	1.166114
LOC728763	0.84266144
TSC1	0.23614211
LOC645195	-2.3737097
JAKMIP1	-1.1595707
FAM189B	-0.021226969
XLOC_012631	0.08872533
XLOC_l2_015172	1.5805322
CNTNAP1	-2.4699392
SPPL2B	2.2204988
DNAH5	0.18919611
	-0.032101914
UBE2F	0.907876
C9orf47	-1.4123099
SLFN12	-2.6457553
HSP90AB2P	-0.77545255
